iter_num,loss
301,"[12.388733, 5.5959473, 3.1575928, 0.84173584, 0.7907715, 0.23712158, 0.20874023, 0.12774658, 0.25756836, 0.0390625, 0.12792969, 0.10083008, 0.087646484, 0.03491211, 0.024108887, 0.05078125, 0.027893066, 0.0146484375, 0.009887695, 0.0072021484, 0.0052490234, 0.0029296875, 0.0009765625, 0.0009765625, 0.0017089844, 0.0008544922, 0.0007324219, 0.09637451, 0.026550293, 0.024597168, 0.01586914, 0.010620117, 0.007446289, 0.0045166016, 0.0029296875, 0.0020751953, 0.0013427734, 0.0012207031, 0.0009765625, 0.0010986328, -0.00024414062, 0.00024414062, -0.00061035156, 0.0010986328, 0.0007324219, -0.0009765625, 0.0012207031, 0.00036621094, -0.00012207031, 0.0012207031, 0.0017089844, 0.001953125, 0.0015869141, 0.0012207031, -6.1035156e-05, 0.00079345703, -0.0, 0.0010986328, 0.0007324219, 0.00024414062, 0.0007324219, 0.0013427734, 0.0009765625, 0.00061035156, -0.00061035156, 0.0012207031, -0.00036621094, 0.00061035156, -0.0009765625, -0.00048828125, 0.0014648438, -0.00048828125, 0.00012207031, -0.0, 0.0005493164, 0.0010375977, 0.0012817383, 0.0025024414, -0.00036621094, 0.00091552734, -0.0006713867, 0.0008544922, 0.0025024414, 0.008544922, 0.01159668, 0.017211914, 0.0004272461, 0.00018310547, 0.0014038086, 0.0012207031, 0.00079345703, 0.0012817383, 0.00079345703, 0.0007324219, 0.00030517578, 0.0009765625, 0.0009765625, -0.00079345703, 0.00048828125, 0.00091552734, 0.00018310547, -0.0008544922, -0.00024414062, -0.0, 0.00091552734, 0.00091552734, -0.00024414062, -0.00036621094, -0.0007324219, 0.00079345703, 0.0007324219, -0.00048828125, -0.0005187988, -0.00015258789, 0.0010681152, -0.0, -9.1552734e-05, -0.00036621094, 0.00045776367, -0.000579834, -0.0005187988, 0.00064086914, -0.00021362305, -0.00015258789, 0.0006713867, -0.0007019043, -0.0004272461, 0.0005493164, 0.0007019043, -0.000579834, -0.00044250488, -0.0005340576, -0.00045776367, 0.00019836426, -0.00039672852, -0.00036621094, 0.00016784668, -0.00030517578, -0.00012207031, -0.00033569336, 0.00038909912, 8.869171e-05, 9.1552734e-05, 1.9073486e-06, 0.00022697449, 0.00037384033, 0.00029945374, -3.528595e-05, 5.340576e-05, 0.00048446655, -0.00032424927, 0.00032806396, 0.00032234192, -1.5258789e-05, 0.0002708435, -0.0002708435, 0.00018692017, -0.00018310547, 0.0002784729, 8.773804e-05, 0.00030517578, -0.00020599365, -6.1035156e-05, -0.000289917, -0.00023651123, 6.866455e-05, 0.00039863586, -0.00035095215, 0.0045928955, 0.025039673, -0.00019836426, 0.0002746582, -9.1552734e-05, 0.0005493164, 0.0005187988, -3.0517578e-05, 0.0002593994, -0.00044250488, 0.00033569336, -0.0004272461, 4.5776367e-05, 0.00045776367, -9.1552734e-05, 0.00015258789, 0.00024414062, -0.0002746582, 0.00035095215, -9.1552734e-05, 0.00045776367, -1.5258789e-05, -0.00036621094, -0.00022888184, -0.00030517578, -0.00016784668, -1.5258789e-05, 0.0004081726, 0.00032615662, -4.5776367e-05, 0.0066375732, -0.00016784668, 0.00038146973, -0.00022888184, 0.000289917, -7.6293945e-05, 3.0517578e-05, -4.5776367e-05, 3.0517578e-05, 1.5258789e-05, 0.00019836426, -0.00010681152, 0.00024414062, -0.00047302246, -0.00038146973, -0.000289917, -0.00048828125, 0.000289917, -0.00022888184, 0.00035095215, -0.00032043457, 0.00038146973, 0.00022888184, -0.00016784668, -0.00045776367, -7.6293945e-05, -0.00045776367, 0.015472412, 0.0012817383, -0.00033569336, 3.0517578e-05, -0.00039672852, 0.00018310547, 0.0005187988, -0.000579834, 0.00018310547, 0.00030517578, 0.00039672852, -0.00018310547, -0.0005187988, -0.000579834, -0.00045776367, -0.00039672852, 0.00030517578, 0.00061035156, 0.00030517578, 0.00036621094, -0.00030517578, -0.00061035156, 0.00018310547, -6.1035156e-05, 0.0007019043, 0.00036621094, 0.00030517578, 0.0002746582, -0.0, 0.00015258789, 0.077423096, 0.00579834, 0.001373291, 0.0010681152, 0.00036621094, -0.00012207031, 0.0009460449, 0.00061035156, 0.0005493164, 0.0006713867, -0.00030517578, -3.0517578e-05, -0.00024414062, -0.00033569336, -0.00039672852, -0.00012207031, -0.00030517578, 0.0004272461, -9.1552734e-05, 6.1035156e-05, -0.00015258789, -0.00024414062, -0.00012207031, 3.0517578e-05, 0.00036621094, 0.00036621094, -0.00018310547, 3.0517578e-05, -0.00039672852, 3.0517578e-05, -0.00015258789, 0.00033569336, 0.0005493164, 0.001373291, 0.0008239746, -6.1035156e-05, -0.00036621094, -9.1552734e-05, 0.00018310547, 9.1552734e-05, -9.1552734e-05, 3.0517578e-05, 0.00048828125, -0.00036621094, 0.00048828125, 0.0004272461]"
正确识别出的实体个数,识别出的实体个数,语料中的实体个数
196,203,304
精确率,召回率,F1
0.9655172413793104,0.6447368421052632,0.7731755424063117
